"Nom_variable","Codi_resposta","Text_resposta"
"P2_2",0,"Cap"
"P2_2",98,"No ho sap"
"P2_2",99,"No contesta"
"P2_3",0,"Cap"
"P2_3",98,"No ho sap"
"P2_3",99,"No contesta"
"P2_4",0,"Cap"
"P2_4",98,"No ho sap"
"P2_4",99,"No contesta"
"P2_5",0,"Cap"
"P2_5",98,"No ho sap"
"P2_5",99,"No contesta"
"P2_5B",1,"Smart watch"
"P2_5B",2,"Domòtica i assistents virtuals"
"P2_5B",3,"Altres"
"P2_6",0,"Cap"
"P2_6",98,"No sap"
"P2_6",99,"No contesta"
"P2_7",0,"Cap"
"P2_7",98,"No sap"
"P2_7",99,"No contesta"
"P2A",1,"Sí"
"P2A",2,"No"
"P2A",98,"No ho sap"
"P2A",99,"No contesta"
"P2B",1,"No m'ho puc permetre econòmicament"
"P2B",2,"No cal, amb el wifi de casa ja tinc suficient"
"P2B",3,"No cal, és suficient amb les connexions públiques: biblioteques, centres cívics, wifi públic, etc."
"P2B",4,"No cal, és suficient amb el wifi de tercers: bars, locutoris, coworking, etc."
"P2B",5,"No cal, no necessito Internet al mòbil/tablet,...."
"P2B",95,"Altres respostes"
"P2B",98,"No ho sap"
"P2B",99,"No contesta"
"P3_0",0,"No en té"
"P3_1",1,"Personal"
"P3_2",2,"Professional"
"P3_3",3,"Indiferent"
"P3_95",95,"Altres repostes"
"P3_98",98,"No ho sap"
"P3_99",99,"No contesta"
"P4",1,"Avui o ahir"
"P4",2,"La setmana passada"
"P4",3,"Fa entre 2 i 4 setmanes"
"P4",4,"Fa més d'un mes però menys de 3 mesos"
"P4",5,"Fa més de 3 mesos i menys d'un any"
"P4",6,"Fa més d'un any"
"P4",7,"Mai he fet servir Internet"
"P4",98,"No ho sap"
"P4",99,"No contesta"
"P5A_1",1,"Diàriament"
"P5A_1",2,"Semanalment"
"P5A_1",3,"Mensualment"
"P5A_1",4,"Menys d'un cop al mes"
"P5A_1",5,"Mai"
"P5A_1",98,"No ho sap"
"P5A_1",99,"No contesta"
"P5A_10",1,"Diàriament"
"P5A_10",2,"Semanalment"
"P5A_10",3,"Mensualment"
"P5A_10",4,"Menys d'un cop al mes"
"P5A_10",5,"Mai"
"P5A_10",98,"No ho sap"
"P5A_10",99,"No contesta"
"P5A_10rec",1,"Si"
"P5A_10rec",2,"No"
"P5A_10rec",98,"No ho sap"
"P5A_10rec",99,"No contesta"
"P5A_11",1,"Diàriament"
"P5A_11",2,"Semanalment"
"P5A_11",3,"Mensualment"
"P5A_11",4,"Menys d'un cop al mes"
"P5A_11",5,"Mai"
"P5A_11",98,"No ho sap"
"P5A_11",99,"No contesta"
"P5A_11rec",1,"Si"
"P5A_11rec",2,"No"
"P5A_11rec",98,"No ho sap"
"P5A_11rec",99,"No contesta"
"P5A_12",1,"Diàriament"
"P5A_12",2,"Semanalment"
"P5A_12",3,"Mensualment"
"P5A_12",4,"Menys d'un cop al mes"
"P5A_12",5,"Mai"
"P5A_12",98,"No ho sap"
"P5A_12",99,"No contesta"
"P5A_12rec",1,"Si"
"P5A_12rec",2,"No"
"P5A_12rec",98,"No ho sap"
"P5A_12rec",99,"No contesta"
"P5A_13",1,"Diàriament"
"P5A_13",2,"Semanalment"
"P5A_13",3,"Mensualment"
"P5A_13",4,"Menys d'un cop al mes"
"P5A_13",5,"Mai"
"P5A_13",98,"No ho sap"
"P5A_13",99,"No contesta"
"P5A_13rec",1,"Si"
"P5A_13rec",2,"No"
"P5A_13rec",98,"No ho sap"
"P5A_13rec",99,"No contesta"
"P5A_14",1,"Diàriament"
"P5A_14",2,"Semanalment"
"P5A_14",3,"Mensualment"
"P5A_14",4,"Menys d'un cop al mes"
"P5A_14",5,"Mai"
"P5A_14",98,"No ho sap"
"P5A_14",99,"No contesta"
"P5A_14rec",1,"Si"
"P5A_14rec",2,"No"
"P5A_14rec",98,"No ho sap"
"P5A_14rec",99,"No contesta"
"P5A_15",1,"Diàriament"
"P5A_15",2,"Semanalment"
"P5A_15",3,"Mensualment"
"P5A_15",4,"Menys d'un cop al mes"
"P5A_15",5,"Mai"
"P5A_15",98,"No ho sap"
"P5A_15",99,"No contesta"
"P5A_15rec",1,"Si"
"P5A_15rec",2,"No"
"P5A_15rec",98,"No ho sap"
"P5A_15rec",99,"No contesta"
"P5A_16",1,"Diàriament"
"P5A_16",2,"Semanalment"
"P5A_16",3,"Mensualment"
"P5A_16",4,"Menys d'un cop al mes"
"P5A_16",5,"Mai"
"P5A_16",98,"No ho sap"
"P5A_16",99,"No contesta"
"P5A_16rec",1,"Si"
"P5A_16rec",2,"No"
"P5A_16rec",98,"No ho sap"
"P5A_16rec",99,"No contesta"
"P5A_17",1,"Diàriament"
"P5A_17",2,"Semanalment"
"P5A_17",3,"Mensualment"
"P5A_17",4,"Menys d'un cop al mes"
"P5A_17",5,"Mai"
"P5A_17",98,"No ho sap"
"P5A_17",99,"No contesta"
"P5A_17rec",1,"Si"
"P5A_17rec",2,"No"
"P5A_17rec",98,"No ho sap"
"P5A_17rec",99,"No contesta"
"P5A_18",1,"Diàriament"
"P5A_18",2,"Semanalment"
"P5A_18",3,"Mensualment"
"P5A_18",4,"Menys d'un cop al mes"
"P5A_18",5,"Mai"
"P5A_18",98,"No ho sap"
"P5A_18",99,"No contesta"
"P5A_18_cod",1,"Veïnals"
"P5A_18_cod",2,"Social"
"P5A_18_cod",3,"Cultural"
"P5A_18_cod",4,"Independentista"
"P5A_18_cod",5,"Altres"
"P5A_18_cod",98,"No sap"
"P5A_18_cod",99,"No contesta"
"P5A_18rec",1,"Si"
"P5A_18rec",2,"No"
"P5A_18rec",98,"No ho sap"
"P5A_18rec",99,"No contesta"
"P5A_19",1,"Diàriament"
"P5A_19",2,"Semanalment"
"P5A_19",3,"Mensualment"
"P5A_19",4,"Menys d'un cop al mes"
"P5A_19",5,"Mai"
"P5A_19",98,"No ho sap"
"P5A_19",99,"No contesta"
"P5A_19rec",1,"Si"
"P5A_19rec",2,"No"
"P5A_19rec",98,"No ho sap"
"P5A_19rec",99,"No contesta"
"P5A_1rec",1,"Si"
"P5A_1rec",2,"No"
"P5A_1rec",98,"No ho sap"
"P5A_1rec",99,"No contesta"
"P5A_2",1,"Diàriament"
"P5A_2",2,"Semanalment"
"P5A_2",3,"Mensualment"
"P5A_2",4,"Menys d'un cop al mes"
"P5A_2",5,"Mai"
"P5A_2",98,"No ho sap"
"P5A_2",99,"No contesta"
"P5A_20",1,"Diàriament"
"P5A_20",2,"Semanalment"
"P5A_20",3,"Mensualment"
"P5A_20",4,"Menys d'un cop al mes"
"P5A_20",5,"Mai"
"P5A_20",98,"No ho sap"
"P5A_20",99,"No contesta"
"P5A_20rec",1,"Si"
"P5A_20rec",2,"No"
"P5A_20rec",98,"No ho sap"
"P5A_20rec",99,"No contesta"
"P5A_2rec",1,"Si"
"P5A_2rec",2,"No"
"P5A_2rec",98,"No ho sap"
"P5A_2rec",99,"No contesta"
"P5A_3",1,"Diàriament"
"P5A_3",2,"Semanalment"
"P5A_3",3,"Mensualment"
"P5A_3",4,"Menys d'un cop al mes"
"P5A_3",5,"Mai"
"P5A_3",98,"No ho sap"
"P5A_3",99,"No contesta"
"P5A_3rec",1,"Si"
"P5A_3rec",2,"No"
"P5A_3rec",98,"No ho sap"
"P5A_3rec",99,"No contesta"
"P5A_4",1,"Diàriament"
"P5A_4",2,"Semanalment"
"P5A_4",3,"Mensualment"
"P5A_4",4,"Menys d'un cop al mes"
"P5A_4",5,"Mai"
"P5A_4",98,"No ho sap"
"P5A_4",99,"No contesta"
"P5A_4rec",1,"Si"
"P5A_4rec",2,"No"
"P5A_4rec",98,"No ho sap"
"P5A_4rec",99,"No contesta"
"P5A_5",1,"Diàriament"
"P5A_5",2,"Semanalment"
"P5A_5",3,"Mensualment"
"P5A_5",4,"Menys d'un cop al mes"
"P5A_5",5,"Mai"
"P5A_5",98,"No ho sap"
"P5A_5",99,"No contesta"
"P5A_5rec",1,"Si"
"P5A_5rec",2,"No"
"P5A_5rec",98,"No ho sap"
"P5A_5rec",99,"No contesta"
"P5A_6",1,"Diàriament"
"P5A_6",2,"Semanalment"
"P5A_6",3,"Mensualment"
"P5A_6",4,"Menys d'un cop al mes"
"P5A_6",5,"Mai"
"P5A_6",98,"No ho sap"
"P5A_6",99,"No contesta"
"P5A_6rec",1,"Si"
"P5A_6rec",2,"No"
"P5A_6rec",98,"No ho sap"
"P5A_6rec",99,"No contesta"
"P5A_7",1,"Diàriament"
"P5A_7",2,"Semanalment"
"P5A_7",3,"Mensualment"
"P5A_7",4,"Menys d'un cop al mes"
"P5A_7",5,"Mai"
"P5A_7",98,"No ho sap"
"P5A_7",99,"No contesta"
"P5A_7rec",1,"Si"
"P5A_7rec",2,"No"
"P5A_7rec",98,"No ho sap"
"P5A_7rec",99,"No contesta"
"P5A_8",1,"Diàriament"
"P5A_8",2,"Semanalment"
"P5A_8",3,"Mensualment"
"P5A_8",4,"Menys d'un cop al mes"
"P5A_8",5,"Mai"
"P5A_8",98,"No ho sap"
"P5A_8",99,"No contesta"
"P5A_8rec",1,"Si"
"P5A_8rec",2,"No"
"P5A_8rec",98,"No ho sap"
"P5A_8rec",99,"No contesta"
"P5A_9",1,"Diàriament"
"P5A_9",2,"Semanalment"
"P5A_9",3,"Mensualment"
"P5A_9",4,"Menys d'un cop al mes"
"P5A_9",5,"Mai"
"P5A_9",98,"No ho sap"
"P5A_9",99,"No contesta"
"P5A_9rec",1,"Si"
"P5A_9rec",2,"No"
"P5A_9rec",98,"No ho sap"
"P5A_9rec",99,"No contesta"
"P6",1,"Ha incrementat"
"P6",2,"No ha variat"
"P6",3,"Ha disminuït"
"P6",4,"Abans no ho havia fet mai"
"P6",5,"Només ha augmentat per a comunicació"
"P6",95,"Altres respostes"
"P6",98,"No ho sap"
"P6",99,"No contesta"
"P7",0,"No l'he utilitzat Mai"
"P7",1,"Cada dia/ varies vegades a la setmana"
"P7",2,"Una vegada per setmana"
"P7",3,"Una vegada cada 2 o 3 setmanes"
"P7",4,"Una vegada al mes"
"P7",5,"Una vegada cada 3 mesos"
"P7",6,"Un cop a l'any"
"P7",98,"No ho sap"
"P7",99,"No contesta"
"P8",0,"Funciona molt malament/mala connexió"
"P8",10,"Funciona perfectament, té molt bona connexió"
"P8",98,"No ho sap"
"P8",99,"No contesta"
"P8B",1,"No el coneix"
"P8B",2,"No el necessita"
"P8B",3,"Conexió dolenta o mal funcionament"
"P8B",4,"Per seguretat"
"P8B",5,"Altres"
"P8B",98,"No ho sap"
"P8B",99,"No contesta"
"P9",1,"Si, ja teletreballava abans del confinament"
"P9",2,"Si, però ja he tornat a la feina presencial"
"P9",3,"Si, teletreballo des del confinament però en el futur tornaré al treball presencial"
"P9",4,"Si, Teletreballo des del confinament però en el futur alternaré el treball presencial i a distància "
"P9",5,"No, la meva feina no es pot fer a distància"
"P9",98,"No ho sap"
"P9",99,"No contesta"
"P9B",0,"Prefereixo el teletreball al treball presencial"
"P9B",1,"Prefereixo el treball presencial al teletreball"
"P9B",2,"Prefereixo alternar les modalitats de teletreball i presencial"
"P9B",98,"No ho sap"
"P9B",99,"No contesta"
"Q1",1,"Home"
"Q1",2,"Dona"
"Q1",3,"No binari"
"Q12",0,"Funciona molt malament/mala connexió"
"Q12",10,"Funciona perfectament, té molt bona connexió"
"Q12",98,"No ho sap"
"Q12",99,"No contesta"
"Q1A",0,"Dolenta"
"Q1A",10,"Molt bona"
"Q1A",98,"No ho sap"
"Q1A",99,"No contesta"
"RENDA",1,"Baixa"
"RENDA",2,"Mitja-baixa"
"RENDA",3,"Mitja"
"RENDA",4,"Mitja-alta"
"RENDA",5,"Alta"
